date,INF204K01HY3,ICICI Prudential Large & Mid Cap Growth Direct Plan,Tata Small Cap Growth Direct Plan,Edelweiss Aggressive Hybrid Growth Direct Plan,HDFC Short Term Debt Growth Direct Plan,UTI Short Duration Growth Direct Plan,DSP Aggressive Hybrid Growth Direct Plan,Parag Parikh Flexi Cap Growth Direct Plan,Nippon India Vision Large & Mid Cap Growth Direct Plan,Bandhan Large & Mid Cap Growth Direct Plan,SBI Midcap Growth Direct Plan,Nippon India Equity Hybrid Growth Direct Plan,Aditya Birla Sun Life Corporate Bond Growth Direct Plan,Franklin India Flexi Cap Growth Direct Plan,Mirae Asset Short Duration Growth Direct Plan,HDFC Large Cap Growth Direct Plan,SBI Large & Midcap Growth Direct Plan,Motilal Oswal Nifty Midcap 150 Index Growth Direct Plan,INF761K01DP9,Franklin India Large Cap Growth Direct Plan,JM Flexicap Growth Direct Plan,ICICI Prudential Nifty Next 50 Index Growth Direct Plan,UTI Large & Mid Cap Growth Direct Plan,Nippon India Corporate Bond Growth Direct Plan,Aditya Birla Sun Life Regular Saving Growth Direct Plan,INF179KA1RZ8,Nippon India Index Nifty 50 Growth Direct Plan,HDFC ELSS Tax Saver Growth Direct Plan,Kotak Midcap Growth Direct Plan,Axis Short Duration Growth Direct Plan,Franklin India Aggressive Hybrid Growth Direct Plan,HDFC Mid Cap Growth Direct Plan,Canara Robeco Large Cap Growth Direct Plan,ICICI Prudential Large Cap Growth Direct Plan,Bandhan Large Cap Growth Direct Plan,PGIM India Corporate Bond Growth Direct Plan,Motilal Oswal Midcap Growth Direct Plan,ICICI Prudential Equity & Debt Growth Direct Plan,Edelweiss Small Cap Growth Direct Plan,HDFC Large & Mid Cap Growth Direct Plan,Edelweiss Mid Cap Growth Direct Plan,Bandhan ELSS Tax Saver Growth Direct Plan,Kotak Aggressive Hybrid Growth Direct Plan,HDFC Corporate Bond Growth Direct Plan,Kotak Corporate Bond Growth Direct Plan,HDFC Flexicap Growth Direct Plan,ICICI Prudential Short Term Growth Direct Plan,Motilal Oswal Flexi Cap Growth Direct Plan,Aditya Birla Sun Life Large Cap Growth Direct Plan,DSP ELSS Tax Saver Growth Direct Plan,Bandhan Focused Growth Direct Plan,Franklin India Small Cap Growth Direct Plan,Invesco India Midcap Growth Direct Plan
2023-12-01,131.6131,799.41,34.014,54.84,28.8423,29.5113,306.655,67.1793,1128.3074,108.694,207.3327,92.6509,100.1104,1361.068,14.5437,978.725,503.2179,28.9146,30.25,867.6853,81.8243,44.7368,137.0775,54.6624,62.4577,111.303,36.398,1091.282,109.694,29.3304,239.7876,153.022,54.52,90.83,65.13,41.9839,76.4115,323.93,37.375,268.635,78.862,139.755,55.133,29.0041,3433.0651,1525.745,57.2691,45.2093,444.81,111.477,73.339,155.47,136.21
2023-12-04,133.3121,812.05,34.3159,55.58,28.8677,29.536,309.99,67.9811,1144.3784,110.137,209.4514,93.7532,100.2093,1386.2864,14.5567,998.32,509.1408,29.27,30.56,884.4143,83.2246,45.6015,139.5031,54.7024,62.7717,112.272,37.1488,1115.559,110.779,29.3557,242.7191,155.291,55.6,92.52,66.465,42.0169,77.2863,328.31,37.605,273.252,79.569,141.58,55.797,29.0206,3435.7405,1558.026,57.3157,45.7907,453.35,113.499,74.907,156.6732,137.62
2023-12-05,133.5381,816.14,34.4355,55.72,28.8765,29.5469,310.933,68.3237,1149.2956,110.401,209.5111,94.0228,100.2368,1393.9427,14.5606,1005.575,510.3465,29.3805,30.61,887.611,83.7156,46.0737,139.827,54.7138,62.8357,112.836,37.4504,1123.361,111.011,29.365,243.2162,155.513,55.88,92.99,66.791,42.0214,77.3881,330.33,37.71,274.353,79.686,142.114,56.022,29.0259,3436.3338,1569.332,57.3334,45.9792,456.24,114.244,75.219,157.0557,137.6
2023-12-06,133.6698,816.07,34.4574,55.84,28.89,29.5572,311.054,68.3887,1151.7841,110.561,209.1953,94.3159,100.2976,1399.8394,14.5659,1008.258,511.0348,29.4253,30.57,888.7468,83.9086,46.6075,140.1449,54.7429,62.853,112.565,37.5984,1124.698,111.072,29.3803,244.3542,156.238,56.08,93.16,67.121,42.0514,77.4102,330.01,37.64,274.982,79.845,142.048,56.114,29.0398,3438.2956,1569.482,57.3592,46.1366,457.34,114.424,75.65,157.4756,137.6
2023-12-07,133.7225,819.91,34.5627,55.84,28.8997,29.5703,311.326,68.9912,1155.6259,110.993,210.1734,94.1581,100.3341,1400.6752,14.5718,1006.635,512.6318,29.5881,30.53,887.5077,83.6317,46.9784,140.2522,54.7674,62.8408,112.609,37.5323,1126.588,111.283,29.3916,244.5883,156.615,56.03,93.08,67.074,42.0649,78.0849,330.06,37.594,275.922,80.092,142.409,56.187,29.0503,3439.3961,1572.941,57.3767,46.2208,456.48,114.482,75.552,157.424,138.1
2023-12-08,133.0588,819.3,34.3491,55.86,28.8945,29.5626,311.51,68.9547,1154.61,110.994,209.4909,94.2623,100.3091,1403.013,14.571,1010.669,512.6655,29.5307,30.4,890.8473,83.5214,46.6911,140.3354,54.7564,62.8733,111.767,37.6545,1134.352,110.916,29.3858,244.7413,156.557,56.22,93.33,67.391,42.0683,78.4677,330.38,37.336,276.253,80.024,142.346,56.246,29.055,3439.2971,1584.147,57.3717,46.4094,458.09,114.794,75.424,156.9128,138.18
2023-12-11,134.3457,820.03,34.6092,55.92,28.9055,29.5766,313.179,68.7782,1162.153,111.419,210.4704,94.4952,100.3283,1405.7626,14.5769,1013.772,515.5859,29.7327,30.55,892.8661,83.9207,47.1793,140.6418,54.7719,62.9773,112.267,37.7036,1134.71,111.723,29.3975,245.4453,157.484,56.36,93.57,67.872,42.0799,79.1684,331.33,37.552,277.64,80.875,142.62,56.464,29.0664,3440.4987,1585.827,57.3959,46.8441,459.42,115.241,76.129,158.112,138.85
2023-12-12,133.9218,816.19,34.5044,55.69,28.9094,29.5771,312.634,68.7156,1158.8284,111.032,209.7359,94.2037,100.3495,1398.4058,14.5784,1007.902,513.9348,29.607,30.46,888.9301,83.5598,46.8782,139.9377,54.7746,62.9172,112.589,37.5407,1127.785,110.75,29.4,244.399,157.395,56.09,93.24,67.502,42.0753,78.3501,329.91,37.614,276.275,80.553,142.525,56.316,29.061,3440.7076,1577.958,57.4026,46.5323,456.91,115.125,76.032,157.7754,138.14
2023-12-13,134.75,820.86,34.7188,56.0,28.9204,29.588,314.184,69.1475,1167.063,111.972,210.4513,94.517,100.3996,1404.104,14.5844,1013.539,515.5278,29.8567,30.74,891.5773,84.4297,47.3022,140.7322,54.7974,62.9637,113.032,37.5762,1134.573,111.123,29.4135,245.2011,158.637,56.29,93.49,67.728,42.091,78.8814,331.88,37.816,278.063,81.43,142.907,56.429,29.0689,3441.8273,1586.323,57.428,46.7082,458.35,115.987,76.251,158.8584,139.21
2023-12-14,135.6741,829.22,34.7588,56.49,28.9598,29.6395,317.044,69.4422,1179.6519,113.195,213.0091,95.326,100.5569,1420.2197,14.6034,1024.962,520.2098,30.1893,30.86,903.4836,85.1393,47.9024,142.2617,54.8822,63.2759,114.028,38.0361,1145.646,112.151,29.46,247.2969,159.885,56.92,94.56,68.86,42.1291,80.2107,334.49,38.063,280.948,82.337,144.222,56.867,29.0901,3445.63,1600.342,57.4938,47.5711,464.17,117.273,77.41,160.4638,140.16
