StockName,Ticker,Beta,Volatility,Risk Category
Trent Ltd.,TRENT.NS,0.21,0.4029,High Risk
TVS Motor Company Ltd.,TVSMOTOR.NS,-0.04,0.283,Medium Risk
UltraTech Cement Ltd.,ULTRACEMCO.NS,0.43,0.223,Low Risk
Union Bank of India,UNIONBANK.NS,1.06,0.3485,Medium Risk
United Spirits Ltd.,MCDOWELL-N.NS,,,Unknown
Varun Beverages Ltd.,VBL.NS,0.16,0.3532,Medium Risk
Vedanta Ltd.,VEDL.NS,0.89,0.3154,Medium Risk
Wipro Ltd.,WIPRO.NS,0.6,0.2704,Medium Risk
Zomato Ltd.,ZOMATO.NS,,,Unknown
Zydus Lifesciences Ltd.,ZYDUSLIFE.NS,0.46,0.2428,Low Risk
