file,isin,fund_name,amc,category,fund_category,years_of_prediction,rmse,rmse_percent,cagr,sip_cagr,annualized_volatility,risk_band
SundaramSmallCapIDCWPayoutDirectPlan_INF903J01NI3.xlsx,INF903J01NI3,Sundaram Small Cap IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Small Cap Fund,11.98,4.2533,18.14,18.32,14.15,19.27,Medium
TataMidCapGrowthFundGrowthDirectPlan_INF277K01PY2.xlsx,INF277K01PY2,Tata Mid Cap Growth Fund Growth Direct Plan,TATAMutualFund_MF,Equity,Mid Cap Fund,11.98,42.8343,21.78,27.26,22.89,16.55,Medium
TataFloatingRateIDCWQuarterlyPayoutDirectPlan_INF277KA1083.xlsx,INF277KA1083,Tata Floating Rate IDCW Quarterly Payout Direct Plan,TATAMutualFund_MF,Debt - Bonds,Floater Fund,3.44,0.1618,1.42,7.92,8.44,0.74,Low
TataLargeCapIDCWPayoutDirectPlan_INF277K01QY0.xlsx,INF277K01QY0,Tata Large Cap IDCW Payout Direct Plan,TATAMutualFund_MF,Equity,Large Cap Fund,11.98,12.9551,19.56,20.67,17.57,16.67,Medium
SundaramUltraShortDurationQuarterlyIDCWPayoutDirectPlan_INF903JA1JQ0.xlsx,INF903JA1JQ0,Sundaram Ultra Short Duration Quarterly IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Ultra Short Duration Fund,2.96,13.204,1.16,4.23,4.24,1.6,Low
SundaramUltraShortDurationIDCWMonthlyReinvestDirectPlan_INF173K01HJ1.xlsx,INF173K01HJ1,Sundaram Ultra Short Duration IDCW Monthly Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Ultra Short Duration Fund,2.96,0.7743,0.07,0.18,0.4,1.99,Low
SundaramServicesGrowthDirectPlan_INF903JA1FA2.xlsx,INF903JA1FA2,Sundaram Services Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Sectoral/Thematic,6.23,3.4085,15.76,24.98,23.34,17.22,Medium
TataFloatingRateIDCWMonthlyPayoutDirectPlan_INF277KA1075.xlsx,INF277KA1075,Tata Floating Rate IDCW Monthly Payout Direct Plan,TATAMutualFund_MF,Debt - Bonds,Floater Fund,3.44,0.1618,1.42,7.92,8.44,0.74,Low
TataDividendYieldIDCWPayoutDirectPlan_INF277K016Z6.xlsx,INF277K016Z6,Tata Dividend Yield IDCW Payout Direct Plan,TATAMutualFund_MF,Equity,Dividend Yield Fund,3.57,1.3337,9.1,23.93,19.82,15.94,Medium
SundaramLargeMidCapGrowthDirectPlan_INF903J01PR9.xlsx,INF903J01PR9,Sundaram Large & Mid Cap Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Large & Mid Cap fund,11.96,9.2994,21.6,22.12,18.87,15.58,Medium
SundaramLowDurationQuarterlyIDCWPayoutDirectPlan_INF903JA1JZ1.xlsx,INF903JA1JZ1,Sundaram Low Duration Quarterly IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Low Duration Fund,2.96,10.2736,0.87,4.44,4.49,1.67,Low
SundaramDiversifiedEquityIDCWPayoutDirectPlan_INF903J01NL7.xlsx,INF903J01NL7,Sundaram Diversified Equity IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,ELSS,ELSS,11.98,1.802,12.26,13.12,11.24,16.88,Medium
SundaramServicesIDCWReinvestDirectPlan_INF903JA1FC8.xlsx,INF903JA1FC8,Sundaram Services IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Sectoral/Thematic,5.98,2.4926,14.1,16.28,15.39,18.66,Medium
SundaramShortDurationIDCWMonthlyPayoutDirectPlan_INF173K01GQ8.xlsx,INF173K01GQ8,Sundaram Short Duration IDCW Monthly Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Short Duration Fund,2.96,0.0111,0.09,0.39,0.75,2.29,Low
SundaramFocusedHalfYearlyIDCWPayoutDirectPlan_INF173K01EM2.xlsx,INF173K01EM2,Sundaram Focused Half Yearly IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Focused Fund,2.97,2.3423,5.68,11.43,8.13,14.08,Low
TataGiltSecuritiesIDCWPayoutDirectPlan_INF277K01OW9.xlsx,INF277K01OW9,Tata Gilt Securities IDCW Payout Direct Plan,TATAMutualFund_MF,Debt - Bonds,Gilt Fund,11.94,2.2995,13.43,8.86,9.2,4.39,Low
TataBankingFinancialServicesGrowthDirectPlan_INF277K01Z10.xlsx,INF277K01Z10,Tata Banking & Financial Services Growth Direct Plan,TATAMutualFund_MF,Equity,Sectoral/Thematic,8.99,5.0356,19.3,27.59,23.65,19.59,Medium
SundaramLowDurationQuarterlyIDCWReinvestDirectPlan_INF903JA1JY4.xlsx,INF903JA1JY4,Sundaram Low Duration Quarterly IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Low Duration Fund,2.96,10.2736,0.87,4.44,4.49,1.67,Low
SundaramMidCapIDCWPayoutDirectPlan_INF903J01MH7.xlsx,INF903J01MH7,Sundaram Mid Cap IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Mid Cap Fund,11.98,7.568,18.46,21.6,18.58,17.73,Medium
SundaramMoneyMarketQuarterlyIDCWPayoutDirectPlan_INF903JA1FT2.xlsx,INF903JA1FT2,Sundaram Money Market Quarterly IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Money Market Fund,5.97,0.1694,1.47,4.11,4.37,1.46,Low
SundaramOvernightMonthlyIDCWPayoutDirectPlan_INF903JA1HH3.xlsx,INF903JA1HH3,Sundaram Overnight Monthly IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Overnight Fund,5.02,0.3721,0.04,-0.01,-0.12,1.24,Low
TataMoneyMarketGrowthDirectPlan_INF277K01PR6.xlsx,INF277K01PR6,Tata Money Market Growth Direct Plan,TATAMutualFund_MF,Debt - Bonds,Money Market Fund,12.07,124.2175,3.78,7.74,8.09,1.72,Low
SundaramLargeCapGrowthDirectPlan_INF903JA1JC0.xlsx,INF903JA1JC0,Sundaram Large Cap Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Large Cap Fund,4.19,1.9563,11.07,18.68,15.44,13.4,Low
SundaramEquitySavingIDCWQuarterlyPayoutDirectPlan_INF173K01HF9.xlsx,INF173K01HF9,Sundaram Equity Saving IDCW Quarterly Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Equity Savings,2.97,0.9116,4.0,7.2,6.37,6.64,Low
TataCorporateBondGrowthDirectPlan_INF277KA1224.xlsx,INF277KA1224,Tata Corporate Bond Growth Direct Plan,TATAMutualFund_MF,Debt - Bonds,Corporate Bond Fund,3.03,0.2395,2.15,8.17,8.7,0.89,Low
SundaramShortDurationAnnualIDCWPayoutDirectPlan_INF903JA1KR6.xlsx,INF903JA1KR6,Sundaram Short Duration Annual IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Short Duration Fund,2.96,0.1799,1.3,6.42,7.16,1.95,Low
TataCorporateBondIDCWPeriodicPayoutDirectPlan_INF277KA1265.xlsx,INF277KA1265,Tata Corporate Bond IDCW Periodic Payout Direct Plan,TATAMutualFund_MF,Debt - Bonds,Corporate Bond Fund,3.03,0.2395,2.15,8.17,8.7,0.89,Low
SundaramLowDurationIDCWMonthlyPayoutDirectPlan_INF173K01FT4.xlsx,INF173K01FT4,Sundaram Low Duration IDCW Monthly Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Low Duration Fund,2.96,0.8554,0.08,0.2,0.39,2.06,Low
TataFlexiCapGrowthDirectPlan_INF277K015K0.xlsx,INF277K015K0,Tata Flexi Cap Growth Direct Plan,TATAMutualFund_MF,Equity,Flexi Cap Fund,6.28,2.7287,16.13,21.67,20.77,16.44,Medium
SundaramInfrastructureAdvantageIDCWReinvestDirectPlan_INF903J01G18.xlsx,INF903J01G18,Sundaram Infrastructure Advantage IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Sectoral/Thematic,10.69,6.6604,18.58,19.63,15.75,18.54,Medium
SundaramDividendYieldHalfYearlyIDCWReinvestDirectPlan_INF173K01ET7.xlsx,INF173K01ET7,Sundaram Dividend Yield Half Yearly IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Dividend Yield Fund,2.97,3.5907,6.08,12.68,9.31,14.31,Low
TataIndiaConsumerIDCWPayoutDirectPlan_INF277K015A1.xlsx,INF277K015A1,Tata India Consumer IDCW Payout Direct Plan,TATAMutualFund_MF,Equity,Sectoral/Thematic,8.99,5.2897,20.25,24.54,20.18,15.66,Medium
TataHybridEquityMonthlyIDCWPayoutDirectPlan_INF277K01MP7.xlsx,INF277K01MP7,Tata Hybrid Equity Monthly IDCW Payout Direct Plan,TATAMutualFund_MF,Equity,Aggressive Hybrid Fund,11.98,9.8722,13.66,11.58,8.67,12.23,Low
SundaramLargeMidCapIDCWReinvestDirectPlan_INF903J01PQ1.xlsx,INF903J01PQ1,Sundaram Large & Mid Cap IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Large & Mid Cap fund,11.98,4.005,18.33,13.3,10.87,16.76,Medium
SundaramFinancialServicesOpportunitiesIDCWPayoutDirectPlan_INF903J01MZ9.xlsx,INF903J01MZ9,Sundaram Financial Services Opportunities IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Sectoral/Thematic,11.98,4.1963,19.44,18.8,14.78,22.08,Medium
SundaramEquitySavingIDCWQuarterlyReinvestDirectPlan_INF173K01HG7.xlsx,INF173K01HG7,Sundaram Equity Saving IDCW Quarterly Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Equity Savings,2.97,0.9116,4.0,7.2,6.37,6.64,Low
SundaramLowDurationGrowthDirectPlan_INF173K01FS6.xlsx,INF173K01FS6,Sundaram Low Duration Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Low Duration Fund,2.96,46.2081,1.39,7.54,8.07,0.44,Low
SundaramMultiCapHalfYearlyIDCWReinvestDirectPlan_INF173K01FO5.xlsx,INF173K01FO5,Sundaram Multi Cap Half Yearly IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Multi Cap Fund,2.97,5.2651,6.73,13.62,11.39,13.74,Low
SundaramLargeCapIDCWReinvestDirectPlan_INF903JA1JE6.xlsx,INF903JA1JE6,Sundaram Large Cap IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Large Cap Fund,4.19,1.213,7.74,11.8,7.77,14.18,Low
SundaramMediumDurationQuarterlyIDCWReinvestDirectPlan_INF903J01PL2.xlsx,INF903J01PL2,Sundaram Medium Duration Quarterly IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Medium Duration Fund,11.94,2.8285,12.02,5.45,5.45,17.74,Medium
TataHybridEquityGrowthDirectPlan_INF277K01MN2.xlsx,INF277K01MN2,Tata Hybrid Equity Growth Direct Plan,TATAMutualFund_MF,Equity,Aggressive Hybrid Fund,11.98,52.107,20.24,16.51,13.53,12.02,Low
TataBusinessCycleIDCWPayoutDirectPlan_INF277KA1182.xlsx,INF277KA1182,Tata Business Cycle IDCW Payout Direct Plan,TATAMutualFund_MF,Equity,Sectoral/Thematic,3.36,1.565,10.24,27.11,20.97,14.93,Low
TataEquitySavingGrowthDirectPlan_INF277K01QH5.xlsx,INF277K01QH5,Tata Equity Saving Growth Direct Plan,TATAMutualFund_MF,Equity,Equity Savings,11.94,6.2971,16.64,11.66,11.31,5.03,Low
TataDividendYieldGrowthDirectPlan_INF277K015Z8.xlsx,INF277K015Z8,Tata Dividend Yield Growth Direct Plan,TATAMutualFund_MF,Equity,Dividend Yield Fund,3.57,1.3337,9.1,23.93,19.82,15.94,Medium
SundaramELSSTaxSaverGrowthDirectPlan_INF173K01HZ7.xlsx,INF173K01HZ7,Sundaram ELSS Tax Saver Growth Direct Plan,SUNDARAMMUTUALFUND_MF,ELSS,ELSS,2.97,35.213,8.0,19.55,17.31,12.29,Low
SundaramFinancialServicesOpportunitiesGrowthDirectPlan_INF903J01NB8.xlsx,INF903J01NB8,Sundaram Financial Services Opportunities Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Sectoral/Thematic,11.98,11.811,23.02,27.84,22.85,21.02,Medium
TataLargeMidCapGrowthDirectPlan_INF277K01MK8.xlsx,INF277K01MK8,Tata Large & Mid Cap Growth Direct Plan,TATAMutualFund_MF,Equity,Large & Mid Cap fund,11.98,58.4434,21.36,22.25,17.33,15.36,Medium
TataInfrastructureIDCWPayoutDirectPlan_INF277K01PP0.xlsx,INF277K01PP0,Tata Infrastructure IDCW Payout Direct Plan,TATAMutualFund_MF,Equity,Sectoral/Thematic,11.98,9.0762,21.27,28.34,20.59,18.06,Medium
SundaramMediumDurationGrowthDirectPlan_INF903J01PO6.xlsx,INF903J01PO6,Sundaram Medium Duration Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Medium Duration Fund,11.96,7.4073,13.47,7.03,7.49,3.05,Low
SundaramUltraShortDurationIDCWMonthlyPayoutDirectPlan_INF173K01HK9.xlsx,INF173K01HK9,Sundaram Ultra Short Duration IDCW Monthly Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Ultra Short Duration Fund,2.96,0.7743,0.07,0.18,0.4,1.99,Low
SundaramELSSTaxSaverHalfYearlyIDCWPayoutDirectPlan_INF173K01NN1.xlsx,INF173K01NN1,Sundaram ELSS Tax Saver Half Yearly IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,ELSS,ELSS,2.97,35.3272,8.04,19.52,17.31,12.29,Low
SundaramOvernightMonthlyIDCWReinvestDirectPlan_INF903JA1HM3.xlsx,INF903JA1HM3,Sundaram Overnight Monthly IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Overnight Fund,5.02,0.3721,0.04,-0.01,-0.12,1.24,Low
SundaramServicesIDCWPayoutDirectPlan_INF903JA1FB0.xlsx,INF903JA1FB0,Sundaram Services IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Sectoral/Thematic,6.23,2.5883,14.86,16.28,15.39,18.42,Medium
SundaramFocusedHalfYearlyIDCWReinvestDirectPlan_INF173K01EL4.xlsx,INF173K01EL4,Sundaram Focused Half Yearly IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Focused Fund,2.97,2.3423,5.68,11.43,8.13,14.08,Low
TataFocusedEquityIDCWPayoutDirectPlan_INF277K018X7.xlsx,INF277K018X7,Tata Focused Equity IDCW Payout Direct Plan,TATAMutualFund_MF,Equity,Focused Fund,5.04,2.3668,13.45,21.77,17.69,15.4,Medium
TataELSSTaxSaverGrowthDirectPlan_INF277K01I86.xlsx,INF277K01I86,Tata ELSS Tax Saver Growth Direct Plan,TATAMutualFund_MF,ELSS,ELSS,10.17,5.1943,20.53,22.25,18.82,16.85,Medium
TataBalancedAdvantageGrowthDirectPlan_INF277K013S8.xlsx,INF277K013S8,Tata Balanced Advantage Growth Direct Plan,TATAMutualFund_MF,Equity,Dynamic Asset Allocation or Balanced Advantage,5.9,2.0214,12.57,15.11,13.14,9.21,Low
SundaramMoneyMarketGrowthDirectPlan_INF903JA1FR6.xlsx,INF903JA1FR6,Sundaram Money Market Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Money Market Fund,6.22,0.3314,2.66,7.32,7.74,0.47,Low
TataDigitalIndiaGrowthDirectPlan_INF277K01Z77.xlsx,INF277K01Z77,Tata Digital India Growth Direct Plan,TATAMutualFund_MF,Equity,Sectoral/Thematic,8.99,4.865,17.19,18.41,18.06,18.95,Medium
TataInfrastructureGrowthDirectPlan_INF277K01PQ8.xlsx,INF277K01PQ8,Tata Infrastructure Growth Direct Plan,TATAMutualFund_MF,Equity,Sectoral/Thematic,11.98,17.0891,21.8,28.34,20.6,17.73,Medium
TataBusinessCycleGrowthDirectPlan_INF277KA1166.xlsx,INF277KA1166,Tata Business Cycle Growth Direct Plan,TATAMutualFund_MF,Equity,Sectoral/Thematic,3.36,1.565,10.24,27.11,20.97,14.93,Low
SundaramNifty100EqualWeightIDCWPayoutDirectPlan_INF173K01EW1.xlsx,INF173K01EW1,Sundaram Nifty 100 Equal Weight IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Index Funds,2.97,4.4386,5.87,12.45,11.28,16.21,Medium
TataEquityPEGrowthDirectPlan_INF277K01ND1.xlsx,INF277K01ND1,Tata Equity PE Growth Direct Plan,TATAMutualFund_MF,Equity,Value Fund,11.98,37.7912,22.15,25.8,21.48,16.71,Medium
SundaramDividendYieldHalfYearlyIDCWPayoutDirectPlan_INF173K01ES9.xlsx,INF173K01ES9,Sundaram Dividend Yield Half Yearly IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Dividend Yield Fund,2.97,3.5907,6.08,12.68,9.31,14.31,Low
TataDigitalIndiaIDCWPayoutDirectPlan_INF277K01Z93.xlsx,INF277K01Z93,Tata Digital India IDCW Payout Direct Plan,TATAMutualFund_MF,Equity,Sectoral/Thematic,8.99,4.9261,17.41,18.41,18.06,18.95,Medium
SundaramLiquidQuarterlyIDCWReinvestDirectPlan_INF903JA1JK3.xlsx,INF903JA1JK3,Sundaram Liquid Quarterly IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Liquid Fund,3.14,8.1423,0.75,3.63,3.69,1.31,Low
SundaramMidCapIDCWReinvestDirectPlan_INF903J01MI5.xlsx,INF903J01MI5,Sundaram Mid Cap IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Mid Cap Fund,11.98,7.568,18.46,21.6,18.58,17.73,Medium
SundaramEquitySavingGrowthDirectPlan_INF173K01GZ9.xlsx,INF173K01GZ9,Sundaram Equity Saving Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Equity Savings,2.97,4.9193,7.25,14.78,14.31,5.46,Low
SundaramLargeCapIDCWPayoutDirectPlan_INF903JA1JD8.xlsx,INF903JA1JD8,Sundaram Large Cap IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Large Cap Fund,4.19,1.213,7.74,11.8,7.77,14.18,Low
SundaramShortDurationQuarterlyIDCWPayoutDirectPlan_INF903JA1KM7.xlsx,INF903JA1KM7,Sundaram Short Duration Quarterly IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Short Duration Fund,2.96,0.2118,1.52,5.25,5.48,1.69,Low
SundaramMoneyMarketMonthlyIDCWPayoutDirectPlan_INF903JA1FS4.xlsx,INF903JA1FS4,Sundaram Money Market Monthly IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Money Market Fund,5.97,0.0426,0.38,0.36,0.55,1.55,Low
SundaramMediumDurationAnnualIDCWReinvestDirectPlan_INF903J01PM0.xlsx,INF903J01PM0,Sundaram Medium Duration Annual IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Medium Duration Fund,11.9,0.7691,5.99,6.31,6.42,4.92,Low
TataEthicalIDCWPayoutDirectPlan_INF277K01NF6.xlsx,INF277K01NF6,Tata Ethical IDCW Payout Direct Plan,TATAMutualFund_MF,Equity,Sectoral/Thematic,11.98,26.2324,21.36,16.12,12.15,13.74,Low
SundaramMidCapGrowthDirectPlan_INF903J01MJ3.xlsx,INF903J01MJ3,Sundaram Mid Cap Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Mid Cap Fund,11.98,130.3431,21.47,30.84,26.98,16.77,Medium
TataFloatingRateGrowthDirectPlan_INF277KA1026.xlsx,INF277KA1026,Tata Floating Rate Growth Direct Plan,TATAMutualFund_MF,Debt - Bonds,Floater Fund,3.44,0.1618,1.42,7.92,8.44,0.74,Low
SundaramGlobalBrandThemeEquityActiveFoFGrowthDirectPlan_INF903J01OB6.xlsx,INF903J01OB6,Sundaram Global Brand Theme Equity Active FoF Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Fund of Funds,11.96,3.4449,16.75,17.93,16.78,14.99,Low
SundaramOvernightGrowthDirectPlan_INF903JA1HG5.xlsx,INF903JA1HG5,Sundaram Overnight Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Overnight Fund,5.91,4.8879,0.42,6.43,6.51,0.07,Low
SundaramLargeMidCapIDCWPayoutDirectPlan_INF903J01PP3.xlsx,INF903J01PP3,Sundaram Large & Mid Cap IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Large & Mid Cap fund,11.98,4.005,18.33,13.3,10.87,16.76,Medium
TataBankingFinancialServicesIDCWPayoutDirectPlan_INF277K01Z36.xlsx,INF277K01Z36,Tata Banking & Financial Services IDCW Payout Direct Plan,TATAMutualFund_MF,Equity,Sectoral/Thematic,8.99,5.0356,19.3,27.59,23.65,19.59,Medium
TataFlexiCapIDCWPayoutDirectPlan_INF277K016K8.xlsx,INF277K016K8,Tata Flexi Cap IDCW Payout Direct Plan,TATAMutualFund_MF,Equity,Flexi Cap Fund,6.28,2.7287,16.13,21.67,20.77,16.44,Medium
SundaramMultiCapGrowthDirectPlan_INF173K01FQ0.xlsx,INF173K01FQ0,Sundaram Multi Cap Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Multi Cap Fund,2.97,27.1486,8.18,22.32,20.02,12.76,Low
TataNiftySDLPlusAaaPSUBondDec20276040IndexGrowthDirectPlan_INF277KA1372.xlsx,INF277KA1372,Tata Nifty SDL Plus Aaa PSU Bond Dec 2027 60: 40 Index Growth Direct Plan,TATAMutualFund_MF,Debt - Bonds,Index Funds - Fixed Income,2.71,0.3343,2.99,7.78,8.84,1.08,Low
SundaramNifty100EqualWeightGrowthDirectPlan_INF173K01EZ4.xlsx,INF173K01EZ4,Sundaram Nifty 100 Equal Weight Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Index Funds,2.97,10.6334,7.24,21.03,19.05,14.12,Low
SundaramGlobalBrandThemeEquityActiveFoFIDCWPayoutDirectPlan_INF903J01NZ7.xlsx,INF903J01NZ7,Sundaram Global Brand Theme Equity Active FoF IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Fund of Funds,11.77,3.0429,16.39,17.93,16.78,15.18,Medium
SundaramFinancialServicesOpportunitiesIDCWReinvestDirectPlan_INF903J01NA0.xlsx,INF903J01NA0,Sundaram Financial Services Opportunities IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Sectoral/Thematic,11.98,4.1963,19.44,18.8,14.78,22.08,Medium
SundaramMoneyMarketFortnightlyIDCWReinvestDirectPlan_INF903JA1FW6.xlsx,INF903JA1FW6,Sundaram Money Market Fortnightly IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Money Market Fund,4.22,0.024,0.23,0.13,-0.2,6.31,Low
SundaramMediumDurationQuarterlyIDCWPayoutDirectPlan_INF903J01PK4.xlsx,INF903J01PK4,Sundaram Medium Duration Quarterly IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Medium Duration Fund,11.94,2.8285,12.02,5.45,5.45,17.74,Medium
SundaramEquitySavingIDCWPayoutDirectPlan_INF173K01HC6.xlsx,INF173K01HC6,Sundaram Equity Saving IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Equity Savings,2.97,0.5861,3.79,6.9,6.55,7.61,Low
SundaramUltraShortDurationQuarterlyIDCWReinvestDirectPlan_INF903JA1JP2.xlsx,INF903JA1JP2,Sundaram Ultra Short Duration Quarterly IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Ultra Short Duration Fund,2.96,13.204,1.16,4.23,4.24,1.6,Low
TataMultiAssetOpportunitiesIDCWPayoutDirectPlan_INF277K010Z9.xlsx,INF277K010Z9,Tata Multi Asset Opportunities IDCW Payout Direct Plan,TATAMutualFund_MF,Equity,Multi Asset Allocation,4.78,2.1515,11.75,18.77,16.74,9.0,Low
TataMultiAssetOpportunitiesGrowthDirectPlan_INF277K019Y3.xlsx,INF277K019Y3,Tata Multi Asset Opportunities Growth Direct Plan,TATAMutualFund_MF,Equity,Multi Asset Allocation,4.78,2.1515,11.75,18.77,16.74,9.0,Low
TataFloatingRateIDCWPeriodicPayoutDirectPlan_INF277KA1067.xlsx,INF277KA1067,Tata Floating Rate IDCW Periodic Payout Direct Plan,TATAMutualFund_MF,Debt - Bonds,Floater Fund,3.44,0.1618,1.42,7.92,8.44,0.74,Low
SundaramCorporateBondQuarterlyIDCWReinvestDirectPlan_INF903J01NV6.xlsx,INF903J01NV6,Sundaram Corporate Bond Quarterly IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Corporate Bond Fund,11.25,1.0882,6.68,5.38,5.65,7.58,Low
SundaramSmallCapIDCWReinvestDirectPlan_INF903J01NJ1.xlsx,INF903J01NJ1,Sundaram Small Cap IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Small Cap Fund,11.98,4.2533,18.14,18.32,14.15,19.27,Medium
TataFocusedEquityGrowthDirectPlan_INF277K017X9.xlsx,INF277K017X9,Tata Focused Equity Growth Direct Plan,TATAMutualFund_MF,Equity,Focused Fund,5.04,2.3668,13.45,21.77,17.69,15.4,Medium
SundaramMoneyMarketMonthlyIDCWReinvestDirectPlan_INF903JA1FX4.xlsx,INF903JA1FX4,Sundaram Money Market Monthly IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Money Market Fund,6.22,0.0502,0.45,0.36,0.55,1.56,Low
TataCorporateBondIDCWQuarterlyPayoutDirectPlan_INF277KA1281.xlsx,INF277KA1281,Tata Corporate Bond IDCW Quarterly Payout Direct Plan,TATAMutualFund_MF,Debt - Bonds,Corporate Bond Fund,3.03,0.2395,2.15,8.17,8.7,0.89,Low
SundaramGlobalBrandThemeEquityActiveFoFIDCWReinvestDirectPlan_INF903J01OA8.xlsx,INF903J01OA8,Sundaram Global Brand Theme Equity Active FoF IDCW Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Fund of Funds,11.77,3.0429,16.39,17.93,16.78,15.18,Medium
SundaramMultiCapHalfYearlyIDCWPayoutDirectPlan_INF173K01FN7.xlsx,INF173K01FN7,Sundaram Multi Cap Half Yearly IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Multi Cap Fund,2.97,5.2651,6.73,13.62,11.39,13.74,Low
SundaramSmallCapGrowthDirectPlan_INF903J01NK9.xlsx,INF903J01NK9,Sundaram Small Cap Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Small Cap Fund,11.98,26.7209,22.52,27.33,22.28,18.14,Medium
TataMoneyMarketDailyIDCWReinvestDirectPlan_INF277K011C6.xlsx,INF277K011C6,Tata Money Market Daily IDCW Reinvest Direct Plan,TATAMutualFund_MF,Debt - Bonds,Money Market Fund,12.07,0.2886,0.03,0.0,0.0,1.69,Low
SundaramLowDurationIDCWMonthlyReinvestDirectPlan_INF173K01FU2.xlsx,INF173K01FU2,Sundaram Low Duration IDCW Monthly Reinvest Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Low Duration Fund,2.96,0.8554,0.08,0.2,0.39,2.06,Low
