file,isin,fund_name,amc,category,fund_category,years_of_prediction,rmse,rmse_percent,cagr,sip_cagr,annualized_volatility,risk_band
QuantMidCapGrowthDirectPlan_INF966L01887.xlsx,INF966L01887,Quant Mid Cap Growth Direct Plan,QUANTMUTUALFUND_MF,Equity,Mid Cap Fund,11.98,21.7852,22.97,26.76,19.61,15.83,Medium
QuantAbsoluteIDCWPayoutDirectPlan_INF966L01531.xlsx,INF966L01531,Quant Absolute IDCW Payout Direct Plan,QUANTMUTUALFUND_MF,Equity,Aggressive Hybrid Fund,11.98,6.3355,21.97,19.07,15.75,14.02,Low
PGIMIndiaLiquidDailyIDCWReinvestDirectPlan_INF223J01NR7.xlsx,INF223J01NR7,PGIM India Liquid Daily IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Liquid Fund,8.88,2.5292,2.38,4.11,5.76,0.16,Low
PGIMIndiaFlexiCapIDCWReinvestDirectPlan_INF663L01FH7.xlsx,INF663L01FH7,PGIM India Flexi Cap IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Flexi Cap Fund,9.8,2.5496,16.56,8.85,5.74,17.18,Medium
QuantumLiquidDailyIDCWReinvestDirectPlan_INF082J01135.xlsx,INF082J01135,Quantum Liquid Daily IDCW Reinvest Direct Plan,QUANTUMMUTUALFUND_MF,Debt - Bonds,Liquid Fund,18.81,0.0032,0.03,-0.0,-0.0,0.1,Low
SamcoFlexiCapGrowthDirectPlan_INF0K1H01024.xlsx,INF0K1H01024,Samco Flexi Cap Growth Direct Plan,SAMCOMUTUALFUND_MF,Equity,Flexi Cap Fund,2.87,0.4746,4.31,5.43,3.53,16.54,Medium
PGIMIndiaEquitySavingMonthlyIDCWReinvestDirectPlan_INF223J01QF5.xlsx,INF223J01QF5,PGIM India Equity Saving Monthly IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Equity Savings,8.79,0.6387,5.02,1.81,1.51,5.44,Low
QuantFlexiCapIDCWReinvestDirectPlan_INF966L01903.xlsx,INF966L01903,Quant Flexi Cap IDCW Reinvest Direct Plan,QUANTMUTUALFUND_MF,Equity,Flexi Cap Fund,11.98,7.3207,25.16,25.31,18.9,18.29,Medium
PGIMIndiaSmallCapGrowthDirectPlan_INF663L01W06.xlsx,INF663L01W06,PGIM India Small Cap Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Small Cap Fund,3.39,1.1631,8.75,20.5,17.94,15.87,Medium
QuantActiveIDCWReinvestDirectPlan_INF966L01606.xlsx,INF966L01606,Quant Active IDCW Reinvest Direct Plan,QUANTMUTUALFUND_MF,Equity,Multi Cap Fund,11.98,7.952,23.14,20.99,14.43,18.17,Medium
QuantQuantamentalIDCWPayoutDirectPlan_INF966L01AL7.xlsx,INF966L01AL7,Quant Quantamental IDCW Payout Direct Plan,QUANTMUTUALFUND_MF,Equity,Sectoral/Thematic,3.65,2.5307,13.96,30.27,21.84,18.47,Medium
QuantLiquidWeeklyIDCWReinvestDirectPlan_INF966L01804.xlsx,INF966L01804,Quant Liquid Weekly IDCW Reinvest Direct Plan,QUANTMUTUALFUND_MF,Debt - Bonds,Liquid Fund,12.07,0.1521,1.09,1.33,1.68,0.82,Low
PGIMIndiaMidcapIDCWReinvestDirectPlan_INF663L01DX9.xlsx,INF663L01DX9,PGIM India Midcap IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Mid Cap Fund,11.04,6.0741,22.1,20.91,18.53,17.33,Medium
PGIMIndiaLargeCapIDCWReinvestDirectPlan_INF663L01GT0.xlsx,INF663L01GT0,PGIM India Large Cap IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Large Cap Fund,8.79,2.4,10.18,9.74,6.92,16.32,Medium
PGIMIndiaMidcapGrowthDirectPlan_INF663L01DV3.xlsx,INF663L01DV3,PGIM India Midcap Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Mid Cap Fund,11.04,7.1054,21.87,20.91,18.53,17.05,Medium
SBIBankingFinancialServicesGrowthDirectPlan_INF200KA1507.xlsx,INF200KA1507,SBI Banking & Financial Services Growth Direct Plan,SBIMutualFund_MF,Equity,Sectoral/Thematic,9.81,4.5056,19.82,26.15,25.16,19.94,Medium
QuantESGEquityIDCWPayoutDirectPlan_INF966L01AE2.xlsx,INF966L01AE2,Quant ESG Equity IDCW Payout Direct Plan,QUANTMUTUALFUND_MF,Equity,Equity - ESG Fund,4.11,3.7704,14.44,24.55,18.93,17.61,Medium
QuantInfrastructureGrowthDirectPlan_INF966L01721.xlsx,INF966L01721,Quant Infrastructure Growth Direct Plan,QUANTMUTUALFUND_MF,Equity,Sectoral/Thematic,11.98,3.9633,25.75,27.56,20.78,20.41,Medium
PGIMIndiaOvernightWeeklyIDCWReinvestDirectPlan_INF663L01T27.xlsx,INF663L01T27,PGIM India Overnight Weekly IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Overnight Fund,5.48,0.2069,0.02,0.02,-0.03,1.03,Low
QuantumValueIDCWPayoutDirectPlan_INF082J01044.xlsx,INF082J01044,Quantum Value IDCW Payout Direct Plan,QUANTUMMUTUALFUND_MF,Equity,Value Fund,18.74,11.4863,24.54,22.46,19.75,17.24,Medium
PGIMIndiaLiquidGrowthDirectPlan_INF223J01NS5.xlsx,INF223J01NS5,PGIM India Liquid Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Liquid Fund,8.88,4.49,1.67,7.07,7.27,0.14,Low
PGIMIndiaMoneyMarketWeeklyIDCWReinvestDirectPlan_INF663L01U08.xlsx,INF663L01U08,PGIM India Money Market Weekly IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Money Market Fund,3.84,0.2278,0.02,0.14,0.19,0.66,Low
QuantSmallCapIDCWPayoutDirectPlan_INF966L01663.xlsx,INF966L01663,Quant Small Cap IDCW Payout Direct Plan,QUANTMUTUALFUND_MF,Equity,Small Cap Fund,11.98,17.8872,23.05,32.67,24.42,63.96,High
QuantumEquityFoFGrowthDirectPlan_INF082J01093.xlsx,INF082J01093,Quantum Equity FoF Growth Direct Plan,QUANTUMMUTUALFUND_MF,Debt - Bonds,Fund of Funds,15.41,7.9194,22.74,21.34,19.11,14.92,Low
